,day,data_temperature_mean,data_temperature_std,data_humidity_mean,data_humidity_std,data_pm2_5_mean,data_pm2_5_std,data_pm2_5_min,data_pm2_5_max,data_voc_mean,data_voc_std,data_voc_min,data_voc_max,data_co2_mean,data_co2_std,data_co2_min,Target
0,0,28.83833333,0.009831921,68.39333333,0.081649658,198.6666667,2.503331114,195,202,1.112166667,0.005154286,1.104,1.118,377.1666667,10.96205577,368,No Activity
1,0,28.84166667,0.004082483,68.39333333,0.081649658,197.8333333,2.786873995,195,202,1.1145,0.003674235,1.108,1.118,372.8333333,4.020779361,368,No Activity
2,0,28.84166667,0.004082483,68.37666667,0.098319208,196.3333333,2.503331114,193,200,1.118666667,0.00725718,1.114,1.133,371.6666667,2.658320272,368,No Activity
3,0,28.845,0.0083666,68.32833333,0.118392004,197,2.607680962,193,200,1.122333333,0.010053192,1.114,1.137,374.3333333,8.801515021,368,No Activity
4,0,28.85166667,0.01602082,68.26333333,0.137210301,196.8333333,2.401388487,193,199,1.125333333,0.01112954,1.114,1.137,378.1666667,10.36178878,370,No Activity
5,0,28.85666667,0.019663842,68.18166667,0.14246637,197.5,3.209361307,193,202,1.128,0.00969536,1.114,1.137,380.6666667,9.791152469,372,No Activity
6,0,28.865,0.021679483,68.08333333,0.190333041,199,4.69041576,193,206,1.129833333,0.007250287,1.118,1.137,382,8.876936408,372,No Activity
32,0,28.83833333,0.037638633,78.16166667,2.8006529,364.8333333,84.38108003,295,526,4.6845,0.878092193,3.441,6.063,845.1666667,136.0211993,655,Boil
33,0,28.84333333,0.042739521,78.375,2.976284597,425.1666667,161.0719301,295,706,4.86,1.045441534,3.441,6.063,834.1666667,128.5027886,655,Boil
34,0,28.84833333,0.04665476,78.86833333,3.129162295,512.5,235.6537715,295,872,5.049833333,1.156860651,3.441,6.063,823.5,121.9438395,655,Boil
35,0,28.88166667,0.076004386,79.34,2.340871633,587.5,226.6995809,295,872,4.9095,1.301101341,3.441,6.063,823.5,121.9438395,655,Boil
36,0,28.91166667,0.067651066,79.20333333,2.588510511,643.8333333,175.7480204,374,872,4.8925,1.3245805,3.339,6.063,826.6666667,116.8326438,674,Boil
37,0,28.93,0.050596443,77.815,3.643941547,654.3333333,157.3183609,437,872,4.607833333,1.622089075,2.613,6.063,770.5,160.6023038,540,Boil
38,0,28.92333333,0.058878406,76.58166667,3.64732459,634,183.0092894,404,872,3.979833333,1.674589432,2.295,6.063,699.6666667,147.6897649,540,Boil
39,0,28.9,0.092736185,75.53,3.010773987,589.5,194.1244446,404,872,3.44,1.361550293,2.295,6.063,657.5,118.4411246,540,Boil
40,0,28.87166667,0.118729384,74.38,1.485314781,502.5,155.2813575,350,752,2.83,0.496333759,2.295,3.506,618.8333333,64.14177006,540,Boil
52,0,28.755,0.013784049,71.355,0.438850772,483.6666667,206.6781717,261,771,2.158166667,0.231456619,1.77,2.378,490.3333333,19.05430835,460,Curry
53,0,28.75833333,0.011690452,71.17333333,0.524467984,396.5,167.9103928,248,673,2.035833333,0.280752145,1.644,2.272,476.8333333,26.87315885,432,Curry
54,0,28.75833333,0.011690452,70.92833333,0.449507138,324.5,107.3252067,241,517,1.9245,0.300147797,1.604,2.272,461.6666667,32.81869386,414,Curry
55,0,28.75333333,0.019663842,70.765,0.411570164,276.6666667,56.10585234,230,380,1.806166667,0.274618584,1.562,2.272,447.6666667,34.64486494,409,Curry
56,0,28.74,0.039496835,70.72166667,0.335464852,251.1666667,26.932632,227,300,1.684833333,0.167616725,1.544,1.985,434.1666667,28.72223297,409,Curry
57,0,28.72,0.054772256,70.69333333,0.299310318,238.6666667,14.06650869,225,261,1.606166667,0.0924909,1.513,1.77,424.8333333,19.12502723,409,Curry
58,0,28.70166667,0.048751068,70.97833333,0.730490703,234.5,8.871302046,225,248,1.573166667,0.045967017,1.513,1.644,418.5,8.47938677,409,Curry
59,0,28.69,0.039496835,71.06166667,0.696862014,233.6666667,7.474400756,225,243,1.5885,0.078296232,1.513,1.736,418.3333333,8.164965809,409,Curry
60,0,28.68166667,0.02786874,71.275,0.663618867,242.5,26.0672208,225,294,1.631833333,0.137873009,1.513,1.864,422.3333333,11.00302989,409,Curry
61,0,28.67166667,0.021369761,71.54333333,0.578503817,261.5,47.70220121,225,344,1.7635,0.317739359,1.513,2.352,432.6666667,20.76214504,412,Curry
62,0,28.675,0.02258318,71.70166667,0.582594771,281.6666667,55.18937096,225,348,1.948666667,0.457310252,1.513,2.655,448.6666667,34.25589974,422,Curry
63,0,28.67833333,0.017224014,71.99833333,0.582594771,296.5,48.46338824,236,348,2.212833333,0.592979061,1.572,3.098,469.3333333,49.12704618,422,Curry
64,0,28.67833333,0.017224014,72.245,0.952234215,309.1666667,38.36882415,243,348,2.520833333,0.668658483,1.736,3.42,490,51.2679237,431,Curry
65,0,28.675,0.016431677,72.81,1.083771194,317.3333333,23.98888632,292,348,2.850666667,0.691787732,1.864,3.715,519.8333333,61.18959607,438,Curry
66,0,28.67,0.010954451,73.26,1.101072205,312.8333333,30.80530257,267,348,3.159166667,0.56486792,2.352,3.715,543.6666667,49.71384784,471,Curry
67,0,28.67166667,0.009831921,73.655,1.000714745,297.1666667,35.35203907,250,348,3.386333333,0.434323228,2.655,3.715,552.6666667,37.25408255,508,Curry
68,0,28.66666667,0.005163978,73.66,0.991483737,276.1666667,36.52077035,222,314,3.369833333,0.468221066,2.556,3.715,546,48.6744286,468,Curry
69,0,28.66666667,0.005163978,73.74166667,0.918006899,261.5,35.95413745,222,312,3.300166667,0.542035208,2.556,3.715,533.8333333,57.07334462,468,Curry
70,0,28.66666667,0.005163978,73.61166667,0.959008168,245.8333333,29.43750442,218,292,3.222333333,0.554766137,2.556,3.715,521.6666667,61.56514165,468,Curry
71,0,28.665,0.005477226,73.265,0.983986789,233.6666667,20.16597795,218,267,3.079166667,0.511336843,2.556,3.715,498.8333333,45.58252589,468,Curry
72,0,28.66333333,0.005163978,72.91833333,0.853426427,224.3333333,13.51542329,211,250,2.936,0.407398085,2.556,3.715,482.5,21.38924964,468,Curry
73,0,28.68166667,0.04833908,72.74833333,0.537639904,219.5,5.00999002,211,226,2.735833333,0.17928125,2.514,2.953,475,5.477225575,468,Curry
74,0,28.71166667,0.078591772,72.61166667,0.77502043,217,6.899275324,207,226,2.687833333,0.258229678,2.268,2.953,477,4.516635916,473,Curry
75,0,28.745,0.093327381,72.04666667,1.2952014,212,9.465727653,196,221,2.5755,0.380140895,2.006,2.953,471.8333333,15.17124473,442,Curry
76,0,28.77333333,0.091796877,71.365,1.685369396,207.3333333,12.37201142,190,221,2.376833333,0.448693399,1.761,2.856,463.1666667,25.62355687,421,Curry
77,0,28.80333333,0.075277265,70.8,1.853029951,202.5,12.56582667,190,221,2.194333333,0.437365141,1.761,2.856,454.8333333,29.60686857,421,Curry
78,0,28.83666667,0.029439203,70.54833333,1.698109733,198.3333333,13.30663995,186,221,2.109833333,0.316138841,1.761,2.514,444.8333333,28.29428682,421,Curry
79,0,28.855,0.019748418,70.12,1.02609941,193.1666667,7.494442385,186,207,2.071833333,0.267857736,1.761,2.349,444.6666667,28.04757862,421,Curry
80,0,28.86333333,0.022509257,70.03833333,0.926119143,191.1666667,3.710345896,186,196,2.0605,0.259196258,1.761,2.349,445.8333333,29.8959306,421,Curry
81,0,28.86833333,0.024832774,70.21833333,0.983064935,190.5,2.949576241,186,195,2.045833333,0.265314468,1.761,2.349,452.6666667,33.33266666,421,Curry
82,0,28.87,0.022803509,70.53166667,0.77569109,192,4.516635916,186,199,2.057833333,0.251102701,1.761,2.349,462.8333333,30.96072781,423,Curry
83,0,28.86,0.042895221,70.895,0.120623381,194,5.899152482,186,202,2.053666667,0.257147947,1.736,2.349,471.8333333,24.16954006,423,Curry
84,0,28.84666667,0.053913511,70.96,0.172510869,196,4.516635916,190,202,1.922166667,0.276895949,1.56,2.286,480.6666667,4.131182236,476,Curry
85,0,28.82333333,0.061210021,70.92666667,0.216394701,196.8333333,3.544949459,192,202,1.799666667,0.244421494,1.551,2.2,480.3333333,4.366539438,476,Curry
86,0,28.79833333,0.059132619,70.96,0.213915871,196.5,3.834057903,192,202,1.779333333,0.20660655,1.551,2.078,482.3333333,8.664102185,476,Curry
87,0,28.785,0.040373258,71.04333333,0.28182737,197.5,3.146426545,193,202,2.067833333,0.798806965,1.551,3.649,514.6666667,79.9966666,476,Curry
88,0,28.785,0.040373258,71.125,0.278621607,227.3333333,73.87466864,193,378,2.425166667,1.096732495,1.551,3.977,553.5,111.3692058,476,Curry
89,0,28.80166667,0.055647701,70.99166667,0.427430306,300.8333333,182.7625965,193,643,2.803833333,1.198681845,1.551,4.008,588.6666667,115.6143013,476,Curry
90,0,28.83333333,0.086409876,71.00166667,0.434484369,465.1666667,393.5446184,193,1184,3.188,1.08421769,1.551,4.008,631.3333333,112.9259344,477,Curry
91,0,28.87666667,0.10033278,71.39,0.864407311,619,443.9819816,193,1184,3.625,0.777467941,2.078,4.173,683.6666667,98.99831648,499,Curry
92,0,28.92166667,0.086351993,71.71166667,1.044076945,709.8333333,392.1175419,198,1184,3.974166667,0.198933574,3.649,4.173,716.6666667,41.34085953,677,Curry
93,0,28.97166667,0.095166521,71.73833333,1.037157976,758.6666667,328.7513752,378,1184,3.970833333,0.205529965,3.629,4.173,720,38.18900365,688,Curry
94,0,29.015,0.087578536,71.635,1.115127795,756,332.5002256,362,1184,3.831166667,0.396504939,3.139,4.173,703.5,57.35764988,616,Curry
95,0,29.05,0.060663004,71.61333333,1.146379809,699.3333333,381.0394555,303,1184,3.575333333,0.664337765,2.473,4.173,681.6666667,83.44019815,557,Curry
96,0,29.07,0.047328638,71.38333333,1.347437073,546.5,327.9687485,267,1118,3.265,0.896349039,2.003,4.173,651.1666667,94.12420872,549,Curry
97,0,29.08333333,0.037237973,70.87333333,1.202641537,396.8333333,191.5238018,220,738,2.903333333,0.894491066,2.003,4.173,597.8333333,89.59557281,471,Curry
98,0,29.09666667,0.010327956,70.2,0.891380951,306,108.6793449,193,491,2.407833333,0.873697984,1.2,3.629,561.5,85.4441338,471,Curry
99,0,29.09666667,0.010327956,69.855,0.605037189,256.8333333,66.97288008,193,362,2.004833333,0.746116457,1.2,3.139,528.6666667,55.60095922,471,Curry
100,0,29.09333333,0.008164966,69.70666667,0.444147123,229.5,45.48736088,193,303,1.6795,0.553338143,1.187,2.473,512.6666667,35.69126877,471,Curry
101,0,29.09666667,0.010327956,70.02,1.075788083,215.5,27.84780063,193,267,1.550333333,0.400377655,1.187,2.003,524.1666667,57.36694751,471,Curry
102,0,29.1,0.010954451,70.465,1.489063464,208,13.6381817,193,222,1.586833333,0.456014656,1.187,2.222,535.8333333,69.30343907,471,Curry
103,0,29.105,0.012247449,71.10666667,1.953874783,208.6666667,14.41758186,193,224,1.644333333,0.534057924,1.187,2.348,562.1666667,69.75791472,479,Curry
104,0,28.83666667,0.085479042,70.65666667,0.571722543,212.1666667,4.020779361,206,217,1.739666667,0.280490047,1.518,2.189,460.1666667,40.50884677,424,No Activity
105,0,28.8,0.060332413,70.415,0.160468065,210.8333333,3.371448749,206,215,1.627833333,0.181971884,1.518,1.98,441.5,26.31919452,416,No Activity
106,0,28.75833333,0.071110243,70.48833333,0.207501004,208.8333333,3.920034013,203,213,1.503666667,0.143778533,1.235,1.667,426.5,16.14620698,401,No Activity
107,0,28.72,0.073756356,70.52666667,0.217776644,206.1666667,5.600595206,197,213,1.430666667,0.155016988,1.229,1.566,419.6666667,16.93123347,401,No Activity
108,0,28.685,0.072318739,70.48333333,0.193769623,203.1666667,6.013872851,195,209,1.366333333,0.167234765,1.18,1.518,411.8333333,15.32862246,395,No Activity
109,0,28.66666667,0.066231916,70.42333333,0.285002924,199.3333333,8.406346809,186,209,1.456833333,0.331739305,1.18,2.061,413.3333333,18.11813088,395,No Activity
110,0,28.64833333,0.05231316,70.36333333,0.340978983,196.3333333,8.755950358,186,209,1.547333333,0.415304547,1.18,2.061,417.8333333,23.76902747,395,Fry
111,0,28.62666667,0.016329932,70.27166667,0.417153049,192.6666667,6.772493386,186,203,1.636,0.461959306,1.18,2.061,422.8333333,26.32426004,395,Fry
112,0,28.625,0.015165751,70.17166667,0.338255328,292.8333333,250.4599103,186,804,1.861666667,0.549342759,1.18,2.589,437.1666667,34.2719516,395,Fry
